id,name,website,price_url,type,lesson_xpath,evaluation_xpath,track_xpath,road_xpath,test_xpath,other_xpath,package_price,n_lessons,comment
eltrasav4734,"Elevens Trafikkskole As /Avd Asker",elevens.no/,https://elevens.no/,B,"//*[@id=""PriceT""]/div/div/div[2]/div[1]/div[3]/p","//*[@id=""PriceT""]/div/div/div[2]/div[1]/div[5]/p","//*[@id=""PriceT""]/div/div/div[2]/div[2]/div[7]/p","//*[@id=""PriceT""]/div/div/div[2]/div[2]/div[2]/p //*[@id=""PriceT""]/div/div/div[2]/div[2]/div[3]/p //*[@id=""PriceT""]/div/div/div[2]/div[2]/div[4]/p //*[@id=""PriceT""]/div/div/div[2]/div[2]/div[5]/p","//*[@id=""PriceT""]/div/div/div[2]/div[1]/div[2]/p",,"//*[@id=""PriceT""]/div/div/div[2]/div[5]/div[2]/p_NO_TEST",10,"No drive test"
eltrasav4734,"Elevens Trafikkskole As /Avd Asker",elevens.no/,https://elevens.no/,Ba,"//*[@id=""PriceT""]/div/div/div[3]/div[1]/div[3]/p","//*[@id=""PriceT""]/div/div/div[3]/div[1]/div[5]/p","//*[@id=""PriceT""]/div/div/div[3]/div[2]/div[7]/p","//*[@id=""PriceT""]/div/div/div[3]/div[2]/div[2]/p //*[@id=""PriceT""]/div/div/div[3]/div[2]/div[3]/p //*[@id=""PriceT""]/div/div/div[3]/div[2]/div[4]/p //*[@id=""PriceT""]/div/div/div[3]/div[2]/div[5]/p","//*[@id=""PriceT""]/div/div/div[3]/div[1]/div[2]/p",,"//*[@id=""PriceT""]/div/div/div[2]/div[5]/div[2]/p_NO_TEST",10,"No drive test"
