id,name,website,price_url,type,lesson_xpath,evaluation_xpath,track_xpath,road_xpath,test_xpath,other_xpath,hidden_xpath,a12_xpath,a2a_xpath,package_price,n_lessons,comment
baetraas8291,"Bærum Trafikkskole - Gjettum",https://www.bærumtrafikkskole.no/,https://www.xn--brumtrafikkskole-uob.no/priser-pa-kjoreskole/,B,"//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[1]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[5]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[2]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[3]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[4]/div/div/div[1]/div[2]",,,,,17820_NOT_XPATH,4,"6 lessons in price, but 2 are evaluations"
baetraas8291,"Bærum Trafikkskole - Gjettum",https://www.bærumtrafikkskole.no/,https://www.xn--brumtrafikkskole-uob.no/priser-pa-kjoreskole/,Ba,"//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[1]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[5]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[2]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[3]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[4]/div/div/div[1]/div[2]",,,,,17820_NOT_XPATH,4,"6 lessons in price, but 2 are evaluations"
baetraas8291,"Bærum Trafikkskole - Gjettum",https://www.bærumtrafikkskole.no/,https://www.xn--brumtrafikkskole-uob.no/priser-pa-kjoreskole/,B96,"//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[1]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[1]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[3]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[2]/div/div/div[1]/div[2]",,,,,,NO_PACK,0,"No lessons"
baetraas8291,"Bærum Trafikkskole - Gjettum",https://www.bærumtrafikkskole.no/,https://www.xn--brumtrafikkskole-uob.no/priser-pa-kjoreskole/,BE,"//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[1]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[1]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[3]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[2]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[4]/div/div/div[1]/div[2]",,,,,NO_PACK,0,"No lessons"
baetraas8291,"Bærum Trafikkskole - Gjettum",https://www.bærumtrafikkskole.no/,https://www.xn--brumtrafikkskole-uob.no/priser-pa-kjoreskole/,A,"//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[2]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[4]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[6]/div/div/div[1]/div[2] //*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[6]/div/div/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[7]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[12]/div/div/div[1]/div[2]",950_NOT_XPATH,,,"//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[10]/div/div/div[1]/div[2]",NO_PACK,0,"No lessons"
baetraas8291,"Bærum Trafikkskole - Gjettum",https://www.bærumtrafikkskole.no/,https://www.xn--brumtrafikkskole-uob.no/priser-pa-kjoreskole/,A1,"//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[2]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[4]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[5]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[9]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[12]/div/div/div[1]/div[2]",950_NOT_XPATH,,,,NO_PACK,0,"No lessons"
baetraas8291,"Bærum Trafikkskole - Gjettum",https://www.bærumtrafikkskole.no/,https://www.xn--brumtrafikkskole-uob.no/priser-pa-kjoreskole/,A2,"//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[2]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[4]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[6]/div/div/div[1]/div[2] //*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[6]/div/div/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[8]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[12]/div/div/div[1]/div[2]",950_NOT_XPATH,,"//*[@id=""av_section_1""]/div/div/div/div/div[5]/div[2]/ul/li[11]/div/div/div[1]/div[2]",,NO_PACK,0,"No lessons"
