id,name,website,price_url,type,lesson_xpath,evaluation_xpath,track_xpath,road_xpath,test_xpath,other_xpath,package_price,n_lessons,comment
abtraasa2744,"A&B trafikkskole AS",asker.abtrafikkskole.no/,asker.abtrafikkskole.no/,B,"//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[1]/td[2]","//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[3]/td[2]","//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[5]/td[2]","//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[7]/td[2] //*[@id=""PriceT""]/div/div/div[1]/div/table/tr[8]/td[2] //*[@id=""PriceT""]/div/div/div[1]/div/table/tr[9]/td[2]  //*[@id=""PriceT""]/div/div/div[1]/div/table/tr[10]/td[2]","//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[11]/td[2]",,"//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[12]/td[2]",0,"No drivng lessons included in package price"
abtraasa2744,"A&B trafikkskole AS",asker.abtrafikkskole.no/,asker.abtrafikkskole.no/,Ba,"//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[18]/td[2]","//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[20]/td[2]","//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[22]/td[2]","//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[24]/td[2] //*[@id=""PriceT""]/div/div/div[1]/div/table/tr[25]/td[2] //*[@id=""PriceT""]/div/div/div[1]/div/table/tr[26]/td[2]","//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[27]/td[2]",,"//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[28]/td[2]",0,"No driving lessons included in package price"
abtraasa2744,"A&B trafikkskole AS",asker.abtrafikkskole.no/,asker.abtrafikkskole.no/,B96,"//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[58]/td[2]","//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[56]/td[2]","//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[55]/td[2]","//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[54]/td[2]",,,"//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[49]/td[2]",0,"No driving lessons included in package price"
abtraasa2744,"A&B trafikkskole AS",asker.abtrafikkskole.no/,asker.abtrafikkskole.no/,BE,"//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[37]/td[2]","//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[38]/td[2]","//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[40]/td[2]","//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[41]/td[2]","//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[42]/td[2]",,"//*[@id=""PriceT""]/div/div/div[1]/div/table/tr[43]/td[2]",0,"No driving lessons included in package price"
