id,name,website,price_url,type,lesson_xpath,evaluation_xpath,track_xpath,road_xpath,test_xpath,other_xpath,hidden_xpath,a12_xpath,a2a_xpath,package_price,n_lessons,comment
learbekk5038,LEARN Bekkestua,http://learn-bekkestua.trafikkskoleportalen.no/,http://learn-bekkestua.trafikkskoleportalen.no/klasser,B,"//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[1]/div[2]/p","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[1]/div[5]/p","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[5]/p[2]_WITH_NAF","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[6]/p //*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[7]/p //*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[8]/p //*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[9]/p","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[1]/div[9]/p","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[1]/div[6]/p //*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[4]/p","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[4]/div[2]/p",,,"//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[5]/div[2]/p[2]",6,1 evaluation only
learbekk5038,LEARN Bekkestua,http://learn-bekkestua.trafikkskoleportalen.no/,http://learn-bekkestua.trafikkskoleportalen.no/klasser,B1,"//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[1]/div[2]/p","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[1]/div[5]/p","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[5]/p[2]_WITH_NAF","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[6]/p //*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[7]/p //*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[8]/p //*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[9]/p","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[1]/div[9]/p","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[1]/div[6]/p //*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[4]/p //*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[2]/p //*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[1]/div[8]/p","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[4]/div[2]/p",,,"//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[5]/div[2]/p[2]",8,1 evaluation only
learbekk5038,LEARN Bekkestua,http://learn-bekkestua.trafikkskoleportalen.no/,http://learn-bekkestua.trafikkskoleportalen.no/klasser,B,"//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[1]/div[3]/p","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[1]/div[5]/p","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[5]/p[2]_WITH_NAF","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[6]/p //*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[7]/p //*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[8]/p //*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[9]/p","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[1]/div[9]/p","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[1]/div[6]/p //*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[2]/div[4]/p","//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[4]/div[2]/p",,,"//*[@id=""main""]/div[1]/div/div/div[2]/div[3]/div[5]/div[2]/p[2]",6,1 evaluation only
learbekk5038,LEARN Bekkestua,http://learn-bekkestua.trafikkskoleportalen.no/,http://learn-bekkestua.trafikkskoleportalen.no/klasser,B96,"//*[@id=""main""]/div[1]/div/div/div[5]/div[3]/div[1]/div[4]/p","//*[@id=""main""]/div[1]/div/div/div[5]/div[3]/div[1]/div[3]/p","//*[@id=""main""]/div[1]/div/div/div[5]/div[3]/div[2]/div[3]/p","//*[@id=""main""]/div[1]/div/div/div[5]/div[3]/div[2]/div[2]/p",,,"//*[@id=""main""]/div[1]/div/div/div[5]/div[3]/div[4]/div[2]/p",,,NO_PACK,0,
learbekk5038,LEARN Bekkestua,http://learn-bekkestua.trafikkskoleportalen.no/,http://learn-bekkestua.trafikkskoleportalen.no/klasser,BE,"//*[@id=""main""]/div[1]/div/div/div[4]/div[3]/div[1]/div[5]/p","//*[@id=""main""]/div[1]/div/div/div[4]/div[3]/div[1]/div[4]/p","//*[@id=""main""]/div[1]/div/div/div[4]/div[3]/div[2]/div[3]/p","//*[@id=""main""]/div[1]/div/div/div[4]/div[3]/div[2]/div[2]/p","//*[@id=""main""]/div[1]/div/div/div[4]/div[3]/div[1]/div[2]/p",,"//*[@id=""main""]/div[1]/div/div/div[4]/div[3]/div[4]/div[2]/p",,,"//*[@id=""main""]/div[1]/div/div/div[4]/div[3]/div[5]/div[2]/p",0,
learbekk5038,LEARN Bekkestua,http://learn-bekkestua.trafikkskoleportalen.no/,http://learn-bekkestua.trafikkskoleportalen.no/klasser,AM147,"//*[@id=""main""]/div[1]/div/div/div[6]/div[3]/div[1]/div[2]/p",,,,,,"//*[@id=""main""]/div[1]/div/div/div[6]/div[3]/div[2]/div[2]/p",,,"//*[@id=""main""]/div[1]/div/div/div[6]/div[3]/div[1]/div[2]/p",0,
