id,name,website,price_url,type,lesson_xpath,evaluation_xpath,track_xpath,road_xpath,test_xpath,other_xpath,hidden_xpath,a12_xpath,a2a_xpath,package_price,n_lessons,comment
kontraav4202,"Konnerud Trafikkskole avdeling Bærum",baerum.konnerudtrafikkskole.no/,https://baerum.konnerudtrafikkskole.no/page/foererkort-kl-b-manuell-og-automat-gir/,B,"//*[@id=""colid_l03ged""]/div[1]/table/tbody/tr[1]/td[2]_FRONT","//*[@id=""colid_l03ged""]/div[1]/table/tbody/tr[5]/td[2]","//*[@id=""colid_l03ged""]/div[1]/table/tbody/tr[6]/td[2]","//*[@id=""colid_l03ged""]/div[1]/table/tbody/tr[7]/td[2]","//*[@id=""colid_l03ged""]/div[1]/table/tbody/tr[8]/td[2]_FRONT",,,,,"//*[@id=""colid_l03ged""]/div[1]/h2",6,
kontraav4202,"Konnerud Trafikkskole avdeling Bærum",baerum.konnerudtrafikkskole.no/,https://baerum.konnerudtrafikkskole.no/page/foererkort-kl-b-manuell-og-automat-gir/,Ba,"//*[@id=""colid_l03ged""]/div[1]/table/tbody/tr[1]/td[2]_FRONT","//*[@id=""colid_l03ged""]/div[1]/table/tbody/tr[5]/td[2]","//*[@id=""colid_l03ged""]/div[1]/table/tbody/tr[6]/td[2]","//*[@id=""colid_l03ged""]/div[1]/table/tbody/tr[7]/td[2]","//*[@id=""colid_l03ged""]/div[1]/table/tbody/tr[8]/td[2]_FRONT",,,,,"//*[@id=""colid_l03ged""]/div[1]/h2",6,
kontraav4202,"Konnerud Trafikkskole avdeling Bærum",baerum.konnerudtrafikkskole.no/,https://baerum.konnerudtrafikkskole.no/page/kl-be-og-b-96/,B96,"//*[@id=""colid_y5otvk""]/div/table/tbody/tr[1]/td[2]/strong","//*[@id=""colid_y5otvk""]/div/table/tbody/tr[1]/td[2]/strong","//*[@id=""colid_y5otvk""]/div/table/tbody/tr[4]/td[2]/strong","//*[@id=""colid_y5otvk""]/div/table/tbody/tr[3]/td[2]/strong",,,,,,"//*[@id=""colid_y5otvk""]/div/p[9]/strong[1]",0,
kontraav4202,"Konnerud Trafikkskole avdeling Bærum",baerum.konnerudtrafikkskole.no/,https://baerum.konnerudtrafikkskole.no/page/kl-be-og-b-96/,BE,"//*[@id=""colid_y5otvk""]/div/table/tbody/tr[1]/td[2]/strong","//*[@id=""colid_y5otvk""]/div/table/tbody/tr[1]/td[2]/strong","//*[@id=""colid_y5otvk""]/div/table/tbody/tr[4]/td[2]/strong","//*[@id=""colid_y5otvk""]/div/table/tbody/tr[3]/td[2]/strong","//*[@id=""colid_y5otvk""]/div/table/tbody/tr[5]/td[2]/strong",,,,,"//*[@id=""colid_y5otvk""]/div/p[9]/strong[2]",0,
kontraav4202,"Konnerud Trafikkskole avdeling Bærum",baerum.konnerudtrafikkskole.no/,https://baerum.konnerudtrafikkskole.no/page/mopedkurs/,AM146,"//*[@id=""colid_be645""]/div/p[4]","//*[@id=""colid_be645""]/div/table/tbody/tr[3]/td[2]","//*[@id=""colid_be645""]/div/table/tbody/tr[4]/td[2] //*[@id=""colid_be645""]/div/table/tbody/tr[5]/td[2]","//*[@id=""colid_be645""]/div/table/tbody/tr[7]/td[2]",,"//*[@id=""colid_be645""]/div/table/tbody/tr[2]/td[2] //*[@id=""colid_be645""]/div/table/tbody/tr[1]/td[2]",,,,NO_PACK,0,
