id,name,website,price_url,type,lesson_xpath,evaluation_xpath,track_xpath,road_xpath,test_xpath,other_xpath,hidden_xpath,a12_xpath,a2a_xpath,package_price,n_lessons,comment
writraas8851,"Wright trafikkskole AS Asker",wright.no/,https://wright.no/forerkort/bil-klasse-b/Asker-B%C3%A6rum/,B,/html/body/section[3]/div[2]/div[2]/div[4]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[5]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[7]/div[2]/h3,"/html/body/section[3]/div[2]/div[2]/div[8]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[9]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[10]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[11]/div[2]/h3",/html/body/section[3]/div[2]/div[2]/div[13]/div[2]/h3,"/html/body/section[3]/div[2]/div[2]/div[1]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[14]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[15]/div[2]/h3",/html/body/section[3]/div[2]/div[2]/div[16]/div[2]/h3,,,/html/body/section[1]/div/div[3]/div[1]/div/div[2]/div,7,
writraas8851,"Wright trafikkskole AS Asker",wright.no/,https://wright.no/forerkort/bil-klasse-b-automat/Asker-B%C3%A6rum/,Ba,/html/body/section[3]/div[2]/div[2]/div[4]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[5]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[7]/div[2]/h3,"/html/body/section[3]/div[2]/div[2]/div[8]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[9]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[10]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[11]/div[2]/h3",/html/body/section[3]/div[2]/div[2]/div[13]/div[2]/h3,"/html/body/section[3]/div[2]/div[2]/div[1]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[14]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[15]/div[2]/h3",/html/body/section[3]/div[2]/div[2]/div[16]/div[2]/h3,,,/html/body/section[1]/div/div[3]/div[1]/div/div[4]/div,7,
writraas8851,"Wright trafikkskole AS Asker",wright.no/,https://wright.no/forerkort/bil-klasse-b96/Asker-B%C3%A6rum/,B96,/html/body/section[3]/div[2]/div[2]/div[3]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[5]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[1]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[4]/div[2]/h3,,/html/body/section[3]/div[2]/div[2]/div[2]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[7]/div[2]/h3,,,NO_PACK,0,
writraas8851,"Wright trafikkskole AS Asker",wright.no/,https://wright.no/forerkort/bil-klasse-be/Asker-B%C3%A6rum/,BE,/html/body/section[3]/div[2]/div[2]/div[12]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[14]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[10]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[13]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[16]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[11]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[17]/div[2]/h3,,,NO_PACK,0,
writraas8851,"Wright trafikkskole AS Asker",wright.no/,https://wright.no/forerkort/motorsykkel-mc-lappen-a/Asker-B%C3%A6rum/,A,/html/body/section[3]/div[2]/div[2]/div[6]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[8]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[7]/div[2]/h3,"/html/body/section[3]/div[2]/div[2]/div[9]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[11]/div[2]/h3",/html/body/section[3]/div[2]/div[2]/div[12]/div[2]/h3,,"/html/body/section[3]/div[2]/div[2]/div[1]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[13]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[14]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[15]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[16]/div[2]/h3",,/html/body/section[3]/div[2]/div[2]/div[2]/div[2]/h3,NO_PACK,0,
writraas8851,"Wright trafikkskole AS Asker",wright.no/,https://wright.no/forerkort/motorsykkel-mc-lappen-a1/Asker-B%C3%A6rum/,A1,/html/body/section[3]/div[2]/div[2]/div[5]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[7]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[6]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[8]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[10]/div[2]/h3,,"/html/body/section[3]/div[2]/div[2]/div[1]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[11]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[12]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[13]/div[2]/h3",,,NO_PACK,0,
writraas8851,"Wright trafikkskole AS Asker",wright.no/,https://wright.no/forerkort/motorsykkel-mc-lappen-a2/Asker-B%C3%A6rum/,A2,/html/body/section[3]/div[2]/div[2]/div[6]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[8]/div[2]/h3,/html/body/section[3]/div[2]/div[2]/div[7]/div[2]/h3,"/html/body/section[3]/div[2]/div[2]/div[9]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[11]/div[2]/h3",/html/body/section[3]/div[2]/div[2]/div[12]/div[2]/h3,,"/html/body/section[3]/div[2]/div[2]/div[1]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[13]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[14]/div[2]/h3 /html/body/section[3]/div[2]/div[2]/div[15]/div[2]/h3",,,NO_PACK,0,
