id,name,website,price_url,type,lesson_xpath,evaluation_xpath,track_xpath,road_xpath,test_xpath,other_xpath,hidden_xpath,a12_xpath,a2a_xpath,package_price,n_lessons,comment
baetraas8291,"Bærum Trafikkskole - Gjettum",https://www.bærumtrafikkskole.no/,https://www.xn--brumtrafikkskole-uob.no/priser-pa-kjoreskole/,B,"//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[1]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[5]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[2]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[3]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[4]/div/div/div[1]/div[2]",,,,,17820_NOT_XPATH,4,"6 lessons in price, but 2 are evaluations"
baetraas8291,"Bærum Trafikkskole - Gjettum",https://www.bærumtrafikkskole.no/,https://www.xn--brumtrafikkskole-uob.no/priser-pa-kjoreskole/,Ba,"//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[1]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[5]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[2]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[3]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[1]/div[2]/ul/li[4]/div/div/div[1]/div[2]",,,,,17820_NOT_XPATH,4,"6 lessons in price, but 2 are evaluations"
baetraas8291,"Bærum Trafikkskole - Gjettum",https://www.bærumtrafikkskole.no/,https://www.xn--brumtrafikkskole-uob.no/priser-pa-kjoreskole/,B96,"//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[1]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[1]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[3]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[2]/div/div/div[1]/div[2]",,,,,,NO_PACK,0,"No lessons"
baetraas8291,"Bærum Trafikkskole - Gjettum",https://www.bærumtrafikkskole.no/,https://www.xn--brumtrafikkskole-uob.no/priser-pa-kjoreskole/,BE,"//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[1]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[1]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[3]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[2]/div/div/div[1]/div[2]","//*[@id=""av_section_1""]/div/div/div/div/div[3]/div[2]/ul/li[4]/div/div/div[1]/div[2]",,,,,NO_PACK,0,"No lessons"
baetraas8291,"Bærum Trafikkskole - Gjettum",https://www.bærumtrafikkskole.no/,https://www.xn--brumtrafikkskole-uob.no/mc-lappen-barum/,A,"//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[3]/td[2]","//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[3]/td[2]","//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[7]/td[2]","//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[8]/td[2]","//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[13]/td[2]",,"//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[2]/td[2]",,"//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[11]/td[2]",NO_PACK,0,"No lessons"
baetraas8291,"Bærum Trafikkskole - Gjettum",https://www.bærumtrafikkskole.no/,https://www.xn--brumtrafikkskole-uob.no/mc-lappen-barum/,A1,"//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[3]/td[2]","//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[3]/td[2]","//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[6]/td[2]","//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[10]/td[2]","//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[13]/td[2]",,"//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[2]/td[2]",,,NO_PACK,0,"No lessons"
baetraas8291,"Bærum Trafikkskole - Gjettum",https://www.bærumtrafikkskole.no/,https://www.xn--brumtrafikkskole-uob.no/mc-lappen-barum/,A2,"//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[3]/td[2]","//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[3]/td[2]","//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[7]/td[2]","//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[9]/td[2]","//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[13]/td[2]",,"//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[2]/td[2]","//*[@id=""pris_mc""]/div/div/div/div/div[3]/div/table/tbody/tr[12]/td[2]",,NO_PACK,0,"No lessons"
