id,name,website,price_url,type,lesson_xpath,evaluation_xpath,track_xpath,road_xpath,test_xpath,other_xpath,a12_xpath,a2a_xpath,package_price,n_lessons,comment
svesvetr4299,"Svein Svendsen Trafikkskole",svein-svendsen.no/,https://svein-svendsen.no/portfolio-item/klasse-b/,B,"//*[@id=""tablepress-13""]/tbody/tr[6]/td[2]","//*[@id=""tablepress-13""]/tbody/tr[7]/td[2]","//*[@id=""tablepress-13""]/tbody/tr[8]/td[2]","//*[@id=""tablepress-13""]/tbody/tr[9]/td[2]","//*[@id=""tablepress-13""]/tbody/tr[10]/td[2]",,,,"//*[@id=""tablepress-14""]/thead/tr/th[2]",5,
svesvetr4299,"Svein Svendsen Trafikkskole",svein-svendsen.no/,https://svein-svendsen.no/portfolio-item/klasse-b/,Ba,"//*[@id=""tablepress-13""]/tbody/tr[6]/td[2]","//*[@id=""tablepress-13""]/tbody/tr[7]/td[2]","//*[@id=""tablepress-13""]/tbody/tr[8]/td[2]","//*[@id=""tablepress-13""]/tbody/tr[9]/td[2]","//*[@id=""tablepress-13""]/tbody/tr[10]/td[2]",,,,"//*[@id=""tablepress-14""]/thead/tr/th[2]",5,
svesvetr4299,"Svein Svendsen Trafikkskole",svein-svendsen.no/,https://svein-svendsen.no/portfolio-item/beb96/,B96,"//*[@id=""tablepress-16""]/tbody/tr[6]/td[2]","//*[@id=""tablepress-16""]/tbody/tr[1]/td[2]","//*[@id=""tablepress-16""]/tbody/tr[3]/td[2]","//*[@id=""tablepress-16""]/tbody/tr[4]/td[2]",,,,,"//*[@id=""tablepress-17""]/thead/tr/th[2]",0,
svesvetr4299,"Svein Svendsen Trafikkskole",svein-svendsen.no/,https://svein-svendsen.no/portfolio-item/beb96/,BE,"//*[@id=""tablepress-16""]/tbody/tr[6]/td[2]","//*[@id=""tablepress-16""]/tbody/tr[1]/td[2]","//*[@id=""tablepress-16""]/tbody/tr[3]/td[2]","//*[@id=""tablepress-16""]/tbody/tr[4]/td[2]","//*[@id=""tablepress-16""]/tbody/tr[5]/td[2]",,,,"//*[@id=""tablepress-18""]/thead/tr/th[2]",0,
svesvetr4299,"Svein Svendsen Trafikkskole",svein-svendsen.no/,https://svein-svendsen.no/portfolio-item/tungmotorsykkel/,A,"//*[@id=""tablepress-10""]/tbody/tr[3]/td[2]","//*[@id=""tablepress-10""]/tbody/tr[5]/td[2]","//*[@id=""tablepress-10""]/tbody/tr[6]/td[2]","//*[@id=""tablepress-10""]/tbody/tr[8]/td[2]","//*[@id=""tablepress-10""]/tbody/tr[11]/td[2]",,"//*[@id=""tablepress-11""]/thead/tr/th[2]","//*[@id=""tablepress-24""]/thead/tr/th[2]","//*[@id=""tablepress-25""]/thead/tr/th[2]",5,
svesvetr4299,"Svein Svendsen Trafikkskole",svein-svendsen.no/,https://svein-svendsen.no/portfolio-item/lett-motorsykkel-klasse-a1/,A1,"//*[@id=""tablepress-7""]/tbody/tr[4]/td[2]","//*[@id=""tablepress-7""]/tbody/tr[6]/td[2]","//*[@id=""tablepress-7""]/tbody/tr[8]/td[2]",4750_NOT_XPATH,"//*[@id=""tablepress-7""]/tbody/tr[11]/td[2]",,,,"//*[@id=""tablepress-8""]/thead/tr/th[2]",5,"safety course on road must be manually scraped because it's specified on a different page"
svesvetr4299,"Svein Svendsen Trafikkskole",svein-svendsen.no/,https://svein-svendsen.no/portfolio-item/moped/,AM146,"//*[@id=""tablepress-21""]/tbody/tr[11]/td[2]","//*[@id=""tablepress-21""]/tbody/tr[7]/td[2]","//*[@id=""tablepress-21""]/tbody/tr[8]/td[2]","//*[@id=""tablepress-21""]/tbody/tr[10]/td[2]",,"//*[@id=""tablepress-21""]/tbody/tr[6]/td[2]",,,"//*[@id=""tablepress-22""]/thead/tr/th[2]",5,
