id,name,website,price_url,type,lesson_xpath,evaluation_xpath,track_xpath,road_xpath,test_xpath,other_xpath,hidden_xpath,a12_xpath,a2a_xpath,package_price,n_lessons,comment
oslbaetu8831,Oslo Bærum Tungbilskole As,tungbilskole.no/,https://tungbilskole.no/klasse-b,B,"//*[@id=""4661""]/div/table/tbody/tr[2]/td[3]","//*[@id=""4662""]/div/table/tbody/tr[2]/td[3]","//*[@id=""4662""]/div/table/tbody/tr[4]/td[3]_WITH_NAF","//*[@id=""4662""]/div/table/tbody/tr[7]/td[3]","//*[@id=""4662""]/div/table/tbody/tr[9]/td[3]","//*[@id=""4662""]/div/table/tbody/tr[10]/td[3]",,,,"//*[@id=""4557""]/div/table/tbody/tr[8]/td[3]/strong",0,
oslbaetu8831,Oslo Bærum Tungbilskole As,tungbilskole.no/,https://tungbilskole.no/klasse-b,Ba,"//*[@id=""4661""]/div/table/tbody/tr[2]/td[3]","//*[@id=""4662""]/div/table/tbody/tr[2]/td[3]","//*[@id=""4662""]/div/table/tbody/tr[4]/td[3]_WITH_NAF","//*[@id=""4662""]/div/table/tbody/tr[7]/td[3]","//*[@id=""4662""]/div/table/tbody/tr[9]/td[3]","//*[@id=""4662""]/div/table/tbody/tr[10]/td[3]",,,,"//*[@id=""4557""]/div/table/tbody/tr[8]/td[3]/strong",0,
oslbaetu8831,Oslo Bærum Tungbilskole As,tungbilskole.no/,https://tungbilskole.no/klasse-b,B1,"//*[@id=""4661""]/div/table/tbody/tr[2]/td[3]","//*[@id=""4662""]/div/table/tbody/tr[2]/td[3]","//*[@id=""4662""]/div/table/tbody/tr[4]/td[3]_WITH_NAF","//*[@id=""4662""]/div/table/tbody/tr[7]/td[3]","//*[@id=""4662""]/div/table/tbody/tr[9]/td[3]","//*[@id=""4662""]/div/table/tbody/tr[10]/td[3]",,,,"//*[@id=""4558""]/div/table/tbody/tr[9]/td[3]/strong",10,
