id,name,website,address,municipality,county,lat,long,phone_number,rating,place_id
hamtraas7689,"Hamang trafikkskole AS",hamangtrafikkskole.no/,"Navestadveien 20, 1738 Borgenhaugen",Sarpsborg,Viken,59.2628588,11.1271612,"69 12 21 10",4.6,ChIJ8VPdtosGREYROwn8a5FAgVI
haotjetr5796,"Hans Otto Jensen Traffic education AS",hansotto.no/,"Hulbakvegen 321a, 3560 Hemsedal","Hemsedal kommune",Viken,60.882243,8.486158,"908 95 353",,ChIJTybWUDDdP0YR7mGK8dy1TsU
hardrisc8866,"Haralds driver's school",haraldstrafikkskole.no/,"Kråkstadveien 1, 1424 Ski","Nordre Follo",Viken,59.71413609999999,10.8377194,"64 87 06 70",4,ChIJL7BC2x1dQUYRtLWmrXIA0IU
hartraia0473,"Haralds Trafikkskole i Ås",haraldstrafikkskole.no/,"Rådhusplassen 19, 1430 Ås",Ås,Viken,59.6647024,10.7909809,"481 34 565",4.2,ChIJB5oKQFtbQUYR4OYI3Km3EaU
hashtrao8206,"Hassan H trafikkskole",hassanhtrafikkskole.com/,"Ravnkollbakken 33, 0971 Oslo","Oslo kommune",Oslo,59.96502040000001,10.8916854,"405 49 328",,ChIJub6qsQpxQUYRr722PrR5CQQ
heggtraf7287,"Heggedal trafikkskole",heggedal-trafikkskole.no/,"Kloppedalen 6, 1389 Heggedal",Asker,Viken,59.78639769999999,10.4439708,"66 78 46 76",2,ChIJcdYGttI_QUYR5awsRhDqp60
hoensjaa5892,"Hønsen Sjåførskole",honsen.no/,"Vestvollveien 30, 2019 Skedsmokorset",Lillestrøm,Viken,59.99316019999999,11.0317173,"64 83 62 62",4.6,ChIJGeHH5Jl7QUYRvmPKWH3uFkw
hogtraav5758,"Hognestad Trafikkskole Avd Ås",hognestadtrafikkskole.no/,"Brekkeveien 5e, 1430 Ås",Ås,Viken,59.663461,10.793264,"940 05 269",5,ChIJs3Sqs1xbQUYR_pDlEuK33kI
holtraas0670,"Holms trafikkskole as",holmstrafikk.no/1482,"Hadelandsveien 673, 1482 Nittedal",Nittedal,Viken,60.0401918,10.8852598,"940 36 200",,ChIJp6zRK3JxQUYRQs63v-cSIjI
idritraf3703,"iDrive Trafikkskole",idrivetrafikkskole.no/nyheter,"Schwartz gate 42, 3044 Drammen",Drammen,Viken,59.7330015,10.2084847,"995 58 482",4.7,ChIJbQjNBLM8QUYR5zT98F_4YoU
ihatraas0122,"I.Hæhre's trafikkskole A / S",ihehrestrafikkskoleas.tabs.no/,"Rådyrveien 2, 3370 Vikersund",Modum,Viken,59.96774569999999,9.993592699999999,"958 18 958",4,ChIJAaj7an_iQEYRcC-VpKRS3Cs
inttraos5351,"Intensiv Trafikkskole",intensivtrafikkskole.no/,"Inga Bjørnsons vei 60, 0969 Oslo","Oslo kommune",Oslo,59.96846290000001,10.9290277,"457 76 677",,ChIJn5J365V6QUYRVftjHAVos-s
isatrain7779,"Isaksen Trafikkskole",isaksentrafikkskole.no/,"Smedgaten 30, 1850 Mysen","Indre Østfold",Viken,59.55324439999999,11.3324645,"970 76 843",,ChIJz2RHBvLvQ0YR7Dcyh-RhnK0
johtraas5929,"Johansen trafikkskole AS",johansen-trafikkskole.no/,"17. Mai Gata 4, 3611 Kongsberg",Kongsberg,Viken,59.6699035,9.649858799999999,"32 73 69 40",5,ChIJNfy0Cn_QQEYR0EhI-jdDdsY
keytraos7720,"Key Trafikkskole",keytrafikkskole.no/,"Karoline Kristiansens vei 3, 0661 Oslo","Oslo kommune",Oslo,59.9139013,10.7976214,"450 77 707",4.7,ChIJmb4GWFNuQUYRMRCy-lgjddg
knwadrsc2640,"Knut Wallem driving school",knutwallem.no/,"Sørkedalsveien 106, 0378 Oslo","Oslo kommune",Oslo,59.941486,10.67145,"22 14 05 48",,ChIJtaGFC6JtQUYRs1nJyHj70SA
koltraas8752,"Kolbotn trafikkskole AS",kolbotn-trafikkskole.no/,"Sønsterudveien 32, 1412 Sofiemyr","Nordre Follo",Viken,59.8018362,10.81835,"481 58 942",2.7,ChIJVwA63XloQUYRNZEp-s1yAjI
komtraas6102,"Komet Trafikkskole AS",komet-trafikkskole.no/,"Stillverksveien 16, 2004 Lillestrøm",Lillestrøm,Viken,59.95294430000001,11.0487573,"913 70 483",5,ChIJe61ZdVTfQ0YRLDeaHuz7X54
konntraf4640,"Konnerud Trafikkskole",konnerudtrafikkskole.no/,"Pettersvollen 7, 3032 Drammen",Drammen,Viken,59.71681109999999,10.1501777,"948 84 859",4.2,ChIJl2vfvpskQUYRtDuZhUEmv6w
kontraas2469,"Kongsberg trafikkskole AS",kongsbergtrafikkskole.no/,"Skolegata 17, 3611 Kongsberg",Kongsberg,Viken,59.6713761,9.6492604,"32 73 55 90",4,ChIJ677DWn_QQEYRARqfPsyR9k0
kontraav4202,"Konnerud Trafikkskole avdeling Bærum",baerum.konnerudtrafikkskole.no/,"Vøyenengtunet 7, 1339 Vøyenenga",Bærum,Viken,59.9079505,10.4766845,"416 98 989",4.3,ChIJ1xRRKpgTQUYRp3Fr7kCUahw
krtraosl9698,"Kör Trafikkskole",koer.no/,"Quality Hotel 33, Østre Aker vei 33, 0581 Oslo","Oslo kommune",Oslo,59.9285872,10.8178289,,5,ChIJjyTuNQdvQUYR-Mk51fqHEjI
labimctr7566,"Lærer'n Bil & MC trafikkskole",larerntrafikkskole.no/,"Jerikoveien 1, 1067 Oslo","Oslo kommune",Oslo,59.93277149999999,10.8813664,"22 32 38 00",4.1,ChIJ02y4MfZvQUYR8WZYvap2yXY
laertraf7265,"Lærer'N Trafikkskole",larern.no/,"Voldgata 45A, 2000 Lillestrøm",Lillestrøm,Viken,59.958076,11.037128,"63 80 99 22",4.3,ChIJA7qA6kh7QUYRzywH55q6O6o
laptraas8630,"Lappen trafikkskole AS",lappen-trafikkskole.no/,"Cecilie Thoresens vei 5c, 1153 Oslo","Oslo kommune",Oslo,59.8778569,10.8085003,"917 78 948",5,ChIJgbzRYTxvQUYRsfdwNGXcrDY
le2draso9565,"Learn 2 Drive AS",learn2drive.no/,"Åkebergveien 30, 0650 Oslo","Oslo kommune",Oslo,59.91039869999999,10.7743216,"915 43 259",5,ChIJ6Z_3e1huQUYRuCXvRcN0KJQ
leaavdaa8043,"LEARN avd. Åssiden AS",learn-aassiden.trafikkskoleportalen.no/,"Ingeniør Rybergs gate 114, 3027 Drammen",Drammen,Viken,59.7553905,10.12484,"940 04 900",4.4,ChIJ86IQcqEjQUYRiXIVv19uXMA
lealieog3870,"LEARN Lier og Drammen",learnld.trafikkskoleportalen.no/,"Lierstranda 111, 3400 Lier",Lier,Viken,59.751017,10.252523,"940 04 900",4.7,ChIJgVy3n9RsQUYRybJD_LesvwA
leaoslos2283,"LEARN Oslo",learn.no/,"Haavard Martinsens vei 30, 0978 Oslo","Oslo kommune",Oslo,59.9596888,10.906708,"940 04 900",5,ChIJQ0cSODRuQUYRnQe0Tb08oUc
learbekk5038,"LEARN Bekkestua",learn.no/,"Bærumsveien 205, 207, 1357 Bekkestua",Bærum,Viken,59.9168337,10.5865382,"940 04 900",4.6,ChIJ8fATn9RsQUYRz4Ol13Oewqc
learroey6384,"LEARN Røyken",learnld.trafikkskoleportalen.no/,"Jon Leiras vei 1, 3440 Røyken",Asker,Viken,59.7395405,10.4099175,"940 04 900",,ChIJZVGd4OQ-QUYRZ7BU3UbEytU
lechtraf2624,"Lech-Hanssen's Trafikkskole",lech-hanssen.no/,"Elias Smiths vei 25, 1337 Sandvika",Bærum,Viken,59.89178039999999,10.5160929,"67 54 00 18",4.6,ChIJWaVPIGQTQUYR-l0Ir67TmP4
lectraos1937,"Lech-Hanssens Trafikkskole",lech-hanssen.no/,"Uranienborgveien 25, 0355 Oslo","Oslo kommune",Oslo,59.92279279999999,10.7212662,"22 69 58 29",3.8,ChIJIx1d49ZtQUYRGKy2OLoZsIw
ledrtras9518,"Lets Drive Trafikkskole AS",letsdrive.no/,"Holmlia Senter vei 1B, 1255 Oslo","Oslo kommune",Oslo,59.83528099999999,10.7962089,"406 05 080",5,ChIJ30GIUupoQUYRs0V29PQTaSQ
liautras7709,"Lippert Aut. Trafikkskole AS avd. Harestua",lippert.no/,"Furuveien 2, 2743 Harestua",Lunner,Viken,60.20283360000001,10.7151747,"61 32 30 50",5,ChIJMca1FXqfQUYRiJ0Atu7X9zI
